province_id,province_name_en,province_name_ne,district_id,district_name_en,district_name_ne,local_level_id,local_level_name_en,local_level_name_ne,local_level_type_id,local_level_type_code,local_level_type_en,local_level_type_ne
1,Koshi Province,कोशी प्रदेश,1,Bhojpur,भोजपुर,2,Bhojpur,भोजपुर,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,1,Bhojpur,भोजपुर,1,Shadanand,षडानन्द,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,1,Bhojpur,भोजपुर,5,Aamchok,आमचोक,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,1,Bhojpur,भोजपुर,7,Arun,अरुण,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,1,Bhojpur,भोजपुर,3,Hatuwagadhi,हतुवागढी,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,1,Bhojpur,भोजपुर,8,Pauwadungma,पौवादुङमा,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,1,Bhojpur,भोजपुर,4,Ramprasad Rai,रामप्रसाद राई,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,1,Bhojpur,भोजपुर,9,Salpasilichho,साल्पासिलिछो,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,1,Bhojpur,भोजपुर,6,Tyamke Maiyum,टेम्केमैयुङ,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,2,Dhankuta,धनकुटा,10,Dhankuta,धनकुटा,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,2,Dhankuta,धनकुटा,12,Mahalaxmi,महालक्ष्मी,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,2,Dhankuta,धनकुटा,11,Pakhribas,पाख्रिबास,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,2,Dhankuta,धनकुटा,14,Chaubise,चौविसे,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,2,Dhankuta,धनकुटा,16,Chhathar Jorpati,छथर जोरपाटी,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,2,Dhankuta,धनकुटा,15,Sahidbhumi,सहिदभूमि,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,2,Dhankuta,धनकुटा,13,Sangurigadhi,साँगुरीगढी,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,3,Ilam,इलाम,19,Deumai,देउमाई,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,3,Ilam,इलाम,18,Ilam,ईलाम,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,3,Ilam,इलाम,22,Mai,माई,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,3,Ilam,इलाम,17,Suryodaya,सूर्योदय,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,3,Ilam,इलाम,23,Chulachuli,चुलाचुली,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,3,Ilam,इलाम,20,Maijogmai,माईजोगमाई,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,3,Ilam,इलाम,25,Mangsebung,माङसेबुङ,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,3,Ilam,इलाम,21,Phakphokthum,फाकफोकथुम,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,3,Ilam,इलाम,24,Rong,रोङ,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,3,Ilam,इलाम,26,Sandakpur,सन्दकपुर,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,32,Arjundhara,अर्जुनधारा,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,30,Bhadrapur,भद्रपुर,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,28,Birtamod,विर्तामोड,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,29,Damak,दमक,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,33,Gauradaha,गौरादह,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,34,Kankai,कन्काई,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,27,Mechinagar,मेचीनगर,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,31,Shivasatakshi,शिवशताक्षी,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,39,Barhadashi,बाह्रदशी,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,36,Buddha Shanti,बुद्धशान्ति,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,40,Gaurigunj,गौरीगंज,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,41,Haldibari,हल्दिवारी,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,38,Jhapa,झापा,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,37,Kachankawal,कचनकवल,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,4,Jhapa,झापा,35,Kamal,कमल,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,5,Khotang,खोटाँग,42,Diktel Rupakot Majhuwagadhi,दिक्तेल रुपाकोट मझुवागढी,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,5,Khotang,खोटाँग,43,Halesi Tuwachung,हलेसी तुवाचुङ,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,5,Khotang,खोटाँग,46,Aiselukharka,ऐसेलुखर्क,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,5,Khotang,खोटाँग,49,Barahpokhari,वराहपोखरी,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,5,Khotang,खोटाँग,45,Diprung Chuichumma,दिप्रुङ चुइचुम्मा,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,5,Khotang,खोटाँग,47,Jantedhunga,जन्तेढुंगा,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,5,Khotang,खोटाँग,48,Kepilasgadhi,केपिलासगढी,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,5,Khotang,खोटाँग,44,Khotehang,खोटेहाङ,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,5,Khotang,खोटाँग,50,Rawa Besi,रावा बेसी,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,5,Khotang,खोटाँग,51,Sakela,साकेला,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,60,Biratnagar,विराटनगर,1,METROPOLITAN_CITY,Metropolitan City,महानगरपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,53,Belbari,बेलवारी,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,59,Letang,लेटाङ,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,54,Pathari Shanischare,पथरी शनिश्चरे,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,57,Rangeli,रंगेली,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,55,Ratuwamai,रतुवामाई,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,58,Sunawarshi,सुनवर्षि,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,52,Sundar Haraicha,सुन्दरहरैचा,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,56,Urlabari,उर्लावारी,3,MUNICIPALITY,Municipality,नगरपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,62,Budi Ganga,बुढीगंगा,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,64,Dhanpalthan,धनपालथान,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,66,Gramthan,ग्रामथान,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,61,Jahada,जहदा,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
1,Koshi Province,कोशी प्रदेश,6,Morang,मोरंग,65,Kanepokhari,कानेपोखरी,4,RURAL_MUNICIPALITY,Rural Municipality,गाउँपालिका
