local_level_id,district_id,type_id,type_code,name_en,name_ne
136,14,4,RURAL_MUNICIPALITY,Tapli,ताप्ली
137,14,4,RURAL_MUNICIPALITY,Limchungbung,लिम्चुङ्बुङ
138,15,1,METROPOLITAN_CITY,Birgunj,बिरगंज
139,15,3,MUNICIPALITY,Bahudarmai,बहुदरमाई
140,15,3,MUNICIPALITY,Parsagadhi,पर्सागढी
141,15,3,MUNICIPALITY,Pokhariya,पोखरिया
142,15,4,RURAL_MUNICIPALITY,Bindabasini,बिन्दबासिनी
143,15,4,RURAL_MUNICIPALITY,Dhobini,धोबीनी
144,15,4,RURAL_MUNICIPALITY,Chhipaharmai,छिपहरमाई
145,15,4,RURAL_MUNICIPALITY,Jagarnathpur,जगरनाथपुर
146,15,4,RURAL_MUNICIPALITY,Jirabhawani,जिरा भवानी
147,15,4,RURAL_MUNICIPALITY,Kalikamai,कालिकामाई
148,15,4,RURAL_MUNICIPALITY,Pakaha Mainpur,पकाहा मैनपुर
149,15,4,RURAL_MUNICIPALITY,Paterwa Sugauli,पटेर्वा सुगौली
150,15,4,RURAL_MUNICIPALITY,Sakhuwa Prasauni,सखुवा प्रसौनी
151,15,4,RURAL_MUNICIPALITY,Thori,ठोरी
152,16,2,SUB_METROPOLITAN_CITY,Kalaiya,कलैया
153,16,2,SUB_METROPOLITAN_CITY,Jitpur Simara,जीतपुर सिमरा
154,16,3,MUNICIPALITY,Kolhabi,कोल्हवी
155,16,3,MUNICIPALITY,Nijgadh,निजगढ
156,16,3,MUNICIPALITY,Mahagadhimai,महागढीमाई
157,16,3,MUNICIPALITY,Simaraungadh,सिम्रौनगढ
158,16,3,MUNICIPALITY,Pacharauta,पचरौता
159,16,4,RURAL_MUNICIPALITY,Pheta,फेटा
160,16,4,RURAL_MUNICIPALITY,Bishrampur,विश्रामपुर
161,16,4,RURAL_MUNICIPALITY,Prasauni,प्रसौनी
162,16,4,RURAL_MUNICIPALITY,Adarsh Kotwal,आदर्श कोटवाल
163,16,4,RURAL_MUNICIPALITY,Karaiyamai,करैयामाई
164,16,4,RURAL_MUNICIPALITY,Devtal,देवताल
